entry,at,order
"The player ""th3y3ti @ CLMXfwMI0O"" quits the game with a stack of 0.",2022-12-01T02:54:27.167Z,166986326716700
"-- ending hand #95 --",2022-12-01T02:54:18.057Z,166986325805701
"""McNeal @ 2VIQ_H6NmI"" collected 2752 from pot with Pair, 9's (combination: 9♥, 9♣, A♣, 10♦, 8♦)",2022-12-01T02:54:18.057Z,166986325805700
"River: 5♥, 8♦, 9♣, 10♦ [A♣]",2022-12-01T02:54:14.037Z,166986325403700
"Turn: 5♥, 8♦, 9♣ [10♦]",2022-12-01T02:54:09.965Z,166986324996500
"Flop:  [5♥, 8♦, 9♣]",2022-12-01T02:54:05.950Z,166986324595000
"""McNeal @ 2VIQ_H6NmI"" shows a 9♥, 7♦.",2022-12-01T02:54:01.834Z,166986324183401
"""th3y3ti @ CLMXfwMI0O"" shows a 4♦, 5♦.",2022-12-01T02:54:01.834Z,166986324183400
"""McNeal @ 2VIQ_H6NmI"" calls 1376",2022-12-01T02:54:00.993Z,166986324099300
"""th3y3ti @ CLMXfwMI0O"" raises to 1376 and go all in",2022-12-01T02:53:59.552Z,166986323955200
"""McNeal @ 2VIQ_H6NmI"" posts a big blind of 800",2022-12-01T02:53:55.529Z,166986323552905
"""th3y3ti @ CLMXfwMI0O"" posts a small blind of 400",2022-12-01T02:53:55.529Z,166986323552904
"Your hand is 4♦, 5♦",2022-12-01T02:53:55.529Z,166986323552902
"Player stacks: #2 ""th3y3ti @ CLMXfwMI0O"" (1376) | #7 ""McNeal @ 2VIQ_H6NmI"" (6624)",2022-12-01T02:53:55.529Z,166986323552901
"-- starting hand #95 (id: gq6wtitqql83)  (No Limit Texas Hold'em) (dealer: ""th3y3ti @ CLMXfwMI0O"") --",2022-12-01T02:53:55.529Z,166986323552900
"-- ending hand #94 --",2022-12-01T02:53:46.428Z,166986322642801
"""th3y3ti @ CLMXfwMI0O"" collected 1376 from pot with Two Pair, 8's & 5's (combination: 8♦, 8♣, 5♠, 5♣, Q♥)",2022-12-01T02:53:46.428Z,166986322642800
"River: 4♠, 5♠, 3♦, 5♣ [8♣]",2022-12-01T02:53:42.324Z,166986322232400
"Turn: 4♠, 5♠, 3♦ [5♣]",2022-12-01T02:53:38.311Z,166986321831100
"Flop:  [4♠, 5♠, 3♦]",2022-12-01T02:53:34.306Z,166986321430600
"""McNeal @ 2VIQ_H6NmI"" shows a A♠, 3♥.",2022-12-01T02:53:30.214Z,166986321021402
"""th3y3ti @ CLMXfwMI0O"" shows a Q♥, 8♦.",2022-12-01T02:53:30.214Z,166986321021401
"Uncalled bet of 112 returned to ""McNeal @ 2VIQ_H6NmI""",2022-12-01T02:53:30.214Z,166986321021400
"""McNeal @ 2VIQ_H6NmI"" calls 800",2022-12-01T02:53:29.381Z,166986320938100
"""th3y3ti @ CLMXfwMI0O"" posts a big blind of 688 and go all in ",2022-12-01T02:53:27.493Z,166986320749305
"""McNeal @ 2VIQ_H6NmI"" posts a small blind of 400",2022-12-01T02:53:27.493Z,166986320749304
"Your hand is Q♥, 8♦",2022-12-01T02:53:27.493Z,166986320749302
"Player stacks: #2 ""th3y3ti @ CLMXfwMI0O"" (688) | #7 ""McNeal @ 2VIQ_H6NmI"" (7312)",2022-12-01T02:53:27.493Z,166986320749301
"-- starting hand #94 (id: pcwbirgvhqan)  (No Limit Texas Hold'em) (dealer: ""McNeal @ 2VIQ_H6NmI"") --",2022-12-01T02:53:27.493Z,166986320749300
"-- ending hand #93 --",2022-12-01T02:53:18.481Z,166986319848101
"""McNeal @ 2VIQ_H6NmI"" collected 7312 from pot with Two Pair, A's & Q's (combination: A♥, A♠, Q♠, Q♦, 6♠)",2022-12-01T02:53:18.481Z,166986319848100
"River: 2♣, 6♠, 5♣, A♠ [Q♦]",2022-12-01T02:53:14.477Z,166986319447700
"Turn: 2♣, 6♠, 5♣ [A♠]",2022-12-01T02:53:10.402Z,166986319040200
"Flop:  [2♣, 6♠, 5♣]",2022-12-01T02:53:06.388Z,166986318638800
"""McNeal @ 2VIQ_H6NmI"" shows a Q♠, A♥.",2022-12-01T02:53:02.266Z,166986318226601
"""th3y3ti @ CLMXfwMI0O"" shows a 7♣, A♦.",2022-12-01T02:53:02.266Z,166986318226600
"""McNeal @ 2VIQ_H6NmI"" calls 3656 and go all in",2022-12-01T02:53:01.408Z,166986318140800
"""th3y3ti @ CLMXfwMI0O"" raises to 3656",2022-12-01T02:53:00.169Z,166986318016900
"""McNeal @ 2VIQ_H6NmI"" posts a big blind of 800",2022-12-01T02:52:46.669Z,166986316666905
"""th3y3ti @ CLMXfwMI0O"" posts a small blind of 400",2022-12-01T02:52:46.669Z,166986316666904
"Your hand is 7♣, A♦",2022-12-01T02:52:46.669Z,166986316666902
"Player stacks: #2 ""th3y3ti @ CLMXfwMI0O"" (4344) | #7 ""McNeal @ 2VIQ_H6NmI"" (3656)",2022-12-01T02:52:46.669Z,166986316666901
"-- starting hand #93 (id: yaswpg2pnvxd)  (No Limit Texas Hold'em) (dealer: ""th3y3ti @ CLMXfwMI0O"") --",2022-12-01T02:52:46.669Z,166986316666900
"""McNeal @ 2VIQ_H6NmI"" shows a J♣, 5♣.",2022-12-01T02:52:42.134Z,166986316213400
"-- ending hand #92 --",2022-12-01T02:52:40.054Z,166986316005402
"""McNeal @ 2VIQ_H6NmI"" collected 1600 from pot",2022-12-01T02:52:40.054Z,166986316005401
"Uncalled bet of 1256 returned to ""McNeal @ 2VIQ_H6NmI""",2022-12-01T02:52:40.054Z,166986316005400
"""th3y3ti @ CLMXfwMI0O"" folds",2022-12-01T02:52:39.231Z,166986315923100
"""McNeal @ 2VIQ_H6NmI"" bets 1256",2022-12-01T02:52:38.169Z,166986315816900
"""th3y3ti @ CLMXfwMI0O"" checks",2022-12-01T02:52:33.799Z,166986315379900
"Flop:  [6♦, A♣, Q♠]",2022-12-01T02:52:28.950Z,166986314895000
"""th3y3ti @ CLMXfwMI0O"" checks",2022-12-01T02:52:28.113Z,166986314811300
"""McNeal @ 2VIQ_H6NmI"" calls 800",2022-12-01T02:52:25.049Z,166986314504900
"""th3y3ti @ CLMXfwMI0O"" posts a big blind of 800",2022-12-01T02:52:23.732Z,166986314373205
"""McNeal @ 2VIQ_H6NmI"" posts a small blind of 400",2022-12-01T02:52:23.732Z,166986314373204
"Your hand is 3♥, 5♦",2022-12-01T02:52:23.732Z,166986314373202
"Player stacks: #2 ""th3y3ti @ CLMXfwMI0O"" (5144) | #7 ""McNeal @ 2VIQ_H6NmI"" (2856)",2022-12-01T02:52:23.732Z,166986314373201
